allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
H2DK,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
HLAA66030101,anchor1_P2,2,2,2,2.9956,2.9956,2.9956,0.0
HLAA0214,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB51020101,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC18010101,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
SLA21104,anchor1_P2,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB15273,anchor1_P2,2,2,2,2.3025,2.3025,2.3025,0.0
SLA11301,anchor1_P2,7,7,6,1.9915,1.9915,1.9843,0.36
HLAA3003,anchor1_P2,5,5,3,1.6635,1.6635,1.897,-14.04
SLA11402,anchor1_P2,4,4,3,1.9559,1.9559,1.897,3.01
H2DK,anchor2_last,2,2,2,2.9956,2.9956,2.9956,0.0
HLAA0214,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAB51020101,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAC18010101,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
SLA21104,anchor2_last,1,1,1,2.9955,2.9955,2.9955,0.0
HLAA01030101,anchor2_last,18,18,13,2.3621,2.3621,2.4597,-4.14
HLAC15060101,anchor2_last,10,10,5,2.1939,2.1939,2.3227,-5.87
HLAA66030101,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
HLAB15273,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
SLA11301,anchor2_last,7,7,6,2.1994,2.1994,2.1281,3.24
HLAA3003,anchor2_last,5,5,3,1.6635,1.6635,1.897,-14.04
SLA11402,anchor2_last,4,4,3,1.9559,1.9559,1.897,3.01
